# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240708
# Data de termino: 20240714
Titulo da pagina e nome da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Eventos principais;Receita total;Taxa de eventos principais da sessao
Especiais Presidentes;20240712;2;1;0;7.5;0;0;0
Especiais Tecnico;20240710;2;2;0;2;0;0;0
Especiais Arbitros;20240708;2;2;0;11.5;0;0;0
Esquerdinha 2024;20240714;2;2;0;10;0;0;0
Estadios;20240708;2;2;0;5.5;0;0;0
Evaldo 1966;20240713;2;2;2;0;0;0;0
Evanilson 2020;20240709;2;1;0;0;0;0;0
Evolucao de Posicoes combinados;20240711;2;2;0;88;0;0;0
Fabinho 2009;20240708;2;1;0;19.5;0;0;0
Felipe Alves 2024;20240709;2;1;0;0;0;0;0
Felipe Melo 2024;20240713;2;2;0;24;0;0;0
Fernando Diniz 2003;20240711;2;1;0;0;0;0;0
Flamengo 2 X 0 Fluminense;20240712;2;2;0;12.5;0;0;0
Flamengo 5 X 2 Fluminense;20240710;2;1;0;0;0;0;0
Flavio Rodrigues Guerra;20240713;2;2;2;0;0;0;0
Fluminense 0 X 0 CRB;20240711;2;1;0;0;0;0;0
Fluminense 0 X 0 CRB;20240714;2;1;1;0;0;0;0
Fluminense 0 X 0 Gremio Prudente;20240708;2;1;0;3;0;0;0
Fluminense 0 X 1 Bangu;20240709;2;1;0;12;0;0;0
Fluminense 0 X 1 Flamengo;20240708;2;2;0;1.5;0;0;0
Fluminense 0 X 2 Paulistano;20240712;2;1;0;7.5;0;0;0
Fluminense 1 X 1 Corinthians;20240708;2;1;0;1;0;0;0
Fluminense 1 X 1 Coritiba;20240711;2;1;0;41.5;0;0;0
Fluminense 2 X 0 America;20240710;2;2;0;6.5;0;0;0
Fluminense 2 X 0 Coritiba;20240711;2;1;0;38.5;0;0;0
Fluminense 2 X 1 Athletico PR;20240708;2;2;0;3;0;0;0
Fluminense 2 X 1 Atletico MG;20240708;2;1;0;0.5;0;0;0
Fluminense 2 X 1 Cerro Portenho;20240708;2;2;0;1.5;0;0;0
Fluminense 2 X 1 Rio Cricket;20240712;2;1;0;13;0;0;0
Fluminense 2 X 2 Atletico MG;20240708;2;2;0;3.5;0;0;0
Fluminense 2 X 2 Internacional;20240708;2;1;0;5.5;0;0;0
Fluminense 2 X 2 Universidad de Chile;20240708;2;1;0;2.5;0;0;0
Fluminense 3 X 0 Ferroviaria;20240709;2;1;0;3;0;0;0
Fluminense 3 X 1 Toluca;20240709;2;0;0;0;0;0;0
Fluminense 3 X 2 Alianza Lima;20240714;2;2;0;10;0;0;0
Fluminense 4 X 2 Criciuma;20240711;2;2;0;9;0;0;0
Fluminense x Alianza Lima-Peru;20240711;2;1;0;17;0;0;0
Fluminense x America Mexico-Mexico;20240713;2;2;2;0;0;0;0
Fluminense x Athletico PR-PR;20240708;2;2;0;10;0;0;0
Fluminense x Atletico Nacional-Colombia;20240713;2;2;2;0;0;0;0
Fluminense x Boca Juniors-Argentina;20240713;2;2;2;0;0;0;0
Fluminense x Bonsucesso-RJ;20240713;2;2;2;0;0;0;0
Fluminense x Campo Grande-RJ;20240713;2;2;2;0;0;0;0
Fluminense x Cruzeiro-MG;20240713;2;2;2;0;0;0;0
Fluminense x Cuiaba-MT;20240712;2;2;0;8;0;0;0
Fluminense x Deportivo Cuenca-Equador;20240713;2;2;2;0;0;0;0
Fluminense x Dom Bosco-MT;20240713;2;2;2;0;0;0;0
Fluminense x Eintracht Frankfurt-Alemanha;20240713;2;2;2;0;0;0;0
Fluminense x Fortaleza-CE;20240708;2;2;0;81;0;0;0
Fluminense x Friburguense-RJ;20240713;2;2;2;0;0;0;0
Fluminense x Guarani-SP;20240713;2;2;2;0;0;0;0
Fluminense x Ipatinga-MG;20240713;2;2;2;0;0;0;0
Fluminense x Joel Santana no Boavista;20240713;2;2;2;0;0;0;0
Fluminense x Joel Santana no Corinthians;20240713;2;2;2;0;0;0;0
Fluminense x Moto Club-MA;20240713;2;2;2;0;0;0;0
Fluminense x Nautico-PE;20240713;2;2;2;0;0;0;0
Fluminense x Paris Saint Germain-Franca;20240713;2;1;1;16.5;0;0;0
Fluminense x Paysandu-PA;20240713;2;2;2;0;0;0;0
Fluminense x Ponte Preta-SP;20240713;2;2;2;0;0;0;0
Fluminense x Portuguesa-RJ;20240713;2;2;2;0;0;0;0
Fluminense x Rio Cricket-RJ;20240710;2;1;1;8;0;0;0
Fluminense x Santa Cruz-PE;20240713;2;2;2;0;0;0;0
Fluminense x Selecao Peru-Peru;20240708;2;1;0;1;0;0;0
Fluminense x URT-MG;20240714;2;2;2;0;0;0;0
Fluminense x Uniao Sao Joao-SP;20240714;2;2;2;0;0;0;0
Fluminense x Vasco-RJ;20240711;2;2;1;13.5;0;0;0
